code,name,lat,long
HEL,HELSINKI VANTAA,60.32,24.956
HRB,TAIPING,45.623,126.25
AGP,MALAGA,36.674,-4.499
YUL,MONTREAL INTERNATIONAL DORVAL,45.468,-73.741
VKO,VNUKOVO,55.591,37.261
HAM,HAMBURG,53.63,9.988
DLC,ZHOUSHUIZI,38.966,121.538
THR,MEHRABAD INTERNATIONAL,35.689,51.313
GVA,GENEVA COINTRIN,46.238,6.109
HYD,HYDERABAD,17.452,78.461
BSB,PRESIDENTE JUSCELINO KUBITSCHEK,-15.862,-47.913
HKT,PHUKET INTERNATIONAL,8.113,98.317
PUS,GIMHAE INTERNATIONAL,35.179,128.938
YYC,CALGARY INTERNATIONAL,51.114,-114.02
GIG,GALEAO ANTONIO CARLOS JOBIM,-22.809,-43.244
LED,PULKOVO,59.8,30.265
ESB,ESENBOGA,40.128,32.995
LTN,LUTON,51.874,-0.368
WAW,OKECIE,52.166,20.967
PTY,TOCUMEN INTERNATIONAL,9.071,-79.383
DAL,DALLAS LOVE FLD,32.847,-96.852
PRG,RUZYNE,50.101,14.26
STL,LAMBERT ST LOUIS INTERNATIONAL,38.748,-90.36
ITM,OSAKA INTERNATIONAL,34.785,135.438
BNA,NASHVILLE INTERNATIONAL,36.124,-86.678
NNG,WUXU,22.608,108.172
AUS,AUSTIN BERGSTROM INTERNATIONAL,30.194,-97.67
AEP,AEROPARQUE JORGE NEWBERY,-34.559,-58.416
PER,PERTH INTERNATIONAL,-31.94,115.967
ALC,ALICANTE,38.282,-0.558
HOU,WILLIAM P HOBBY,29.645,-95.279
EDI,EDINBURGH,55.95,-3.373
NCE,COTE D AZUR,43.661,7.218
BUD,FERIHEGY,47.437,19.256
LPA,GRAN CANARIA,27.932,-15.386
OAK,METROPOLITAN OAKLAND INTERNATIONAL,37.721,-122.221
BHX,BIRMINGHAM,52.454,-1.748
TYN,WUSU,37.747,112.629
SXF,SCHONEFELD,52.38,13.523
ADB,ADNAN MENDERES,38.292,27.157
LHW,WRIGHT AAF,31.889,-81.562
GDL,DON MIGUEL Y HIDALGO INTERNATIONAL,20.522,-103.311
OTP,OTOPENI,44.574,26.103
SJC,NORMAN Y MINETA SAN JOSE INTERNATIONAL,37.362,-121.929
FOC,CHANGLE,25.933,119.662
CGN,KOLN BONN,50.866,7.143
BGY,BERGAMO ORIO AL SERIO,45.674,9.704
MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,29.993,-90.258
UPG,HASANUDDIN,-5.062,119.554
RDU,RALEIGH DURHAM INTERNATIONAL,35.877,-78.787
MCI,KANSAS CITY INTERNATIONAL,39.297,-94.714
SHJ,SHARJAH INTERNATIONAL,25.328,55.517
TFS,TENERIFE SUR,28.044,-16.572
KHN,NANCHANG AIRPORT,28.6,115.917
CAI,CAIRO INTERNATIONAL,30.122,31.406
STR,STUTTGART,48.69,9.222
SMF,SACRAMENTO INTERNATIONAL,38.695,-121.591
DAD,DANANG INTERNATIONAL,16.044,108.199
OPO,PORTO,41.248,-8.681
CPT,CAPE TOWN INTERNATIONAL,-33.965,18.602
KBP,BORYSPIL,50.345,30.895
SNA,JOHN WAYNE ARPT ORANGE CO,33.676,-117.868
VCE,VENEZIA TESSERA,45.505,12.352
LYS,SAINT EXUPERY,45.726,5.091
NGO,NAGOYA,35.255,136.924
CNF,TANCREDO NEVES,-19.634,-43.969
CEB,COTABATO,7.165,124.21
GLA,GLASGOW,55.872,-4.433
MTY,GENERAL MARIANO ESCOBEDO INTERNATIONAL,25.778,-100.107
HFE,LUOGANG,31.78,117.298
LIN,LINATE,45.445,9.277
NGB,LISHE,29.825,121.465
CMN,MOHAMMED V,33.368,-7.588
VCP,VIRACOPOS,-23.008,-47.134
TLS,BLAGNAC,43.629,1.364
SDU,SANTOS DUMONT,-22.91,-43.163
CLE,CLEVELAND HOPKINS INTERNATIONAL,41.412,-81.85
CTA,CATANIA FONTANAROSSA,37.467,15.066
SAT,SAN ANTONIO INTERNATIONAL,29.534,-98.47
MRS,PROVENCE,43.436,5.214
PIT,PITTSBURGH INTERNATIONAL,40.491,-80.233
ADD,BOLE INTERNATIONAL,8.977,38.8
RSW,SOUTHWEST FLORIDA INTERNATIONAL,26.536,-81.755
IND,INDIANAPOLIS INTERNATIONAL,39.717,-86.294
FAO,FARO,37.014,-7.966
JOG,ADI SUTJIPTO,-7.788,110.432
KEF,KEFLAVIK NAS,63.985,-22.606
BLQ,BOLOGNA,44.534,11.29
NAP,CAPODICHINO,40.886,14.291
BRS,BRISTOL,51.383,-2.719
ADL,ADELAIDE INTERNATIONAL,-34.945,138.531
POA,SALGADO FILHO,-29.994,-51.171
BKI,KOTA KINABALU INTERNATIONAL,5.937,116.051
HLP,HALIM PERDANAKUSUMA INTERNATIONAL,-6.266,106.891
IBZ,IBIZA,38.873,1.373
KWL,LIANGJIANG,25.218,110.039
CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,39.046,-84.662
PNQ,PUNE,18.582,73.919
YEG,EDMONTON INTERNATIONAL,53.31,-113.58
REC,GUARARAPES,-8.126,-34.923
SSA,DEPUTADO LUIS EDUARDO MAGALHAES,-12.911,-38.331
CRL,BRUSSELS SOUTH,50.459,4.454
BPN,SEPINGGAN,-1.268,116.894
ALG,HOUARI BOUMEDIENE,36.691,3.215
CMH,PORT COLUMBUS INTERNATIONAL,39.998,-82.892
HER,NIKOS KAZANTZAKIS,35.339,25.18
AMD,AHMEDABAD,23.075,72.632
ACE,LANZAROTE,28.945,-13.605
PEN,PENANG INTERNATIONAL,5.297,100.277
TIJ,GENERAL ABELARDO L RODRIGUEZ INTERNATIONAL,32.541,-116.97
GOI,GOA,15.381,73.833
GOT,LANDVETTER,57.663,12.28
VLC,VALENCIA,39.489,-0.481
CWB,AFONSO PENA,-25.528,-49.176
CHC,CHRISTCHURCH INTERNATIONAL,-43.489,172.532
YNT,LAISHAN,37.402,121.372
SOF,SOFIA,42.695,23.406
KHH,KAOHSIUNG INTERNATIONAL,22.575,120.351
OOL,GOLD COAST COOLANGATTA,-28.164,153.505
BDL,BRADLEY INTERNATIONAL,41.939,-72.683
SKG,MAKEDONIA,40.52,22.971
LOS,LAGOS MURTALA MUHAMMED,6.577,3.321
BTH,HANG NADIM,1.121,104.119
PBI,PALM BEACH INTERNATIONAL,26.683,-80.096
MED,PRINCE MOHAMMAD BIN ABDULAZIZ,24.553,39.705
BOD,MERIGNAC,44.828,-0.716
TSA,SUNGSHAN,25.069,121.552
BGO,BERGEN FLESLAND,60.293,5.218
FUE,FUERTEVENTURA,28.453,-13.864
WLG,WELLINGTON INTERNATIONAL,-41.327,174.805
MLA,LUQA,35.857,14.478
FOR,PINTO MARTINS INTERNATIONAL,-3.776,-38.532
RGN,YANGON INTERNATIONAL,16.907,96.133
CIA,CIAMPINO,41.799,12.595
HAJ,HANNOVER,52.461,9.685
BFS,ALDERGROVE,54.657,-6.216
KRK,BALICE JP II INTERNATIONAL AIRPORT,50.078,19.785
PMO,PALERMO,38.176,13.091
PMO,BOCCADIFALCO,38.111,13.313
HAV,JOSE MARTI INTERNATIONAL,22.989,-82.409
AER,SOCHI,43.446,39.947
TUN,CARTHAGE,36.851,10.227
PLM,SULTAN MAHMUD BADARUDDIN II,-2.898,104.701
EIN,EINDHOVEN,51.45,5.374
ADA,ADANA,36.982,35.28
ADA,INCIRLIK AB,37.002,35.426
JAX,JACKSONVILLE INTERNATIONAL,30.494,-81.688
DUR,DURBAN INTERNATIONAL,-29.97,30.95
NTE,NANTES ATLANTIQUE,47.153,-1.611
SVX,KOLTSOVO,56.741,60.804
NCL,NEWCASTLE,55.038,-1.692
BEG,BEOGRAD,44.818,20.309
RHO,DIAGORAS,36.405,28.086
PSA,PISA,43.684,10.393
KOJ,KAGOSHIMA,31.803,130.719
SIP,SIMFEROPOL,45.039,33.983
SVQ,SEVILLA,37.418,-5.893
KCH,KUCHING INTERNATIONAL,1.485,110.346
BIO,BILBAO,43.301,-2.911
ANC,TED STEVENS ANCHORAGE INTERNATIONAL,61.174,-149.996
ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT,35.04,-106.609
LPL,LIVERPOOL,53.334,-2.85
CNS,CAIRNS INTERNATIONAL,-16.886,145.755
EMA,EAST MIDLANDS,52.831,-1.328
SWA,WAI SHA AIRPORT,23.4,116.683
YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,45.323,-75.669
BUF,BUFFALO NIAGARA INTERNATIONAL,42.94,-78.732
TFN,TENERIFE NORTE,28.482,-16.341
BRI,PALESE MACCHIE,41.138,16.761
OMA,EPPLEY AFLD,41.302,-95.894
GDN,REBIECHOWO,54.377,18.466
LCY,CITY,51.505,0.054
PKU,SULTAN SYARIF KASIM II,0.461,101.444
TRD,TRONDHEIM VAERNES,63.458,10.94
DLM,DALAMAN,36.713,28.793
SJO,JUAN SANTAMARIA INTERNATIONAL,9.994,-84.209
HDY,HAT YAI INTERNATIONAL,6.933,100.393
RAK,MENARA,31.607,-8.036
JAI,JAIPUR,26.824,75.81
YWG,WINNIPEG INTERNATIONAL,49.91,-97.234
LKO,LUCKNOW,26.761,80.886
SRG,ACHMAD YANI,-6.973,110.375
ONT,ONTARIO INTERNATIONAL,34.056,-117.601
NUE,NURNBERG,49.499,11.078
SVG,STAVANGER SOLA,58.877,5.638
MUN,MATURIN,9.749,-63.152
CAG,ELMAS,39.251,9.054
MSQ,MINSK 2,53.882,28.031
YHZ,HALIFAX INTERNATIONAL,44.881,-63.509
LBA,LEEDS BRADFORD,53.866,-1.661
HRG,HURGHADA INTERNATIONAL,27.184,33.798
TRV,THIRUVANANTHAPURAM INTERNATIONAL,8.482,76.918
PVD,THEODORE FRANCIS GREEN STATE,41.724,-71.428
PDG,TABING,-0.876,100.352
KTW,PYRZOWICE,50.474,19.08
FLN,HERCILIO LUZ,-27.672,-48.548
MIR,HABIB BOURGUIBA INTERNATIONAL,35.758,10.755
BDO,HUSEIN SASTRANEGARA,-6.901,107.576
MDC,SAM RATULANGI,1.549,124.926
BDJ,SYAMSUDIN NOOR,-3.442,114.761
MRU,SIR SEEWOOSAGUR RAMGOOLAM INTERNATIONAL,-20.43,57.683
TAE,DAEGU AB,35.894,128.659
SYZ,SHIRAZ SHAHID DASTGHAIB INTERNATIONAL,29.539,52.589
KRR,PASHKOVSKY,45.035,39.172
ABV,ABUJA NNAMDI AZIKIWE INTERNATIONAL,9.007,7.263
PNK,SUPADIO,-0.151,109.404
MAH,MENORCA,39.863,4.219
TZX,TRABZON,40.995,39.79
MKE,GENERAL MITCHELL INTERNATIONAL,42.947,-87.896
BEL,VAL DE CAES,-1.379,-48.476
KMJ,KUMAMOTO,32.837,130.855
CUZ,VELAZCO ASTETE,-13.536,-71.939
TBS,LOCHINI,41.669,44.955
SDJ,SENDAI,38.139,140.917
JHB,SULTAN ISMAIL,1.641,103.669
NGS,NAGASAKI,32.922,129.923
ZAG,ZAGREB,45.743,16.069
KOA,KONA INTERNATIONAL AT KEAHOLE,19.739,-156.046
GYN,SANTA GENOVEVA,-16.631,-49.222
VIX,GOIABEIRAS,-20.256,-40.289
LUX,FINDEL INTERNATIONAL AIRPORT,49.626,6.211
CBR,CANBERRA,-35.308,149.194
SAL,EL SALVADOR INTERNATIONAL,13.441,-89.056
KMI,MIYAZAKI,31.877,131.448
AWZ,AHWAZ,31.337,48.762
KIH,KISH ISLAND,26.527,53.982
BBI,BHUBANESHWAR,20.244,85.818
CCJ,CALICUT,11.136,75.955
CGB,MARECHAL RONDON,-15.653,-56.117
MYJ,MATSUYAMA,33.827,132.7
LGB,LONG BEACH,33.818,-118.151
LIH,LIHUE,21.976,-159.339
SPU,SPLIT,43.539,16.298
UFA,UFA,54.557,55.874
ELP,EL PASO INTERNATIONAL,31.807,-106.378
YTZ,CITY CENTRE,43.627,-79.396
PAT,PATNA,25.591,85.088
LGK,LANGKAWI INTERNATIONAL,6.33,99.729
ROV,ROSTOV NA DONU,47.258,39.818
COR,AMBROSIO L V TARAVELLA,-31.324,-64.208
KLO,KALIBO,11.681,122.378
HIJ,HIROSHIMA,34.435,132.922
MAO,EDUARDO GOMES INTERNATIONAL,-3.039,-60.05
SCQ,SANTIAGO,42.896,-8.415
KZN,KAZAN,55.608,49.277
GUA,LA AURORA,14.583,-90.528
ACC,KOTOKA INTERNATIONAL,5.603,-0.168
BRE,BREMEN,53.047,8.787
DJJ,SENTANI,-2.577,140.516
DAR,DAR ES SALAAM,-6.878,39.203
GZT,OGUZELI,36.948,37.479
HHN,FRANKFURT HAHN,49.95,7.264
HBA,HOBART,-42.836,147.51
LAD,LUANDA 4 DE FEVEREIRO,-8.858,13.231
NAT,AUGUSTO SEVERO,-5.911,-35.248
ALB,ALBANY INTERNATIONAL,42.748,-73.803
LEJ,LEIPZIG HALLE,51.424,12.236
UTH,UDON THANI,17.386,102.788
DBV,DUBROVNIK,42.561,18.268
MZG,MAKUNG,23.569,119.628
ISG,ISHIGAKI,24.344,124.187
RUN,ST DENIS GILLOT,-20.887,55.51
BUR,BURBANK GLENDALE PASADENA,34.201,-118.359
IDR,DEVI AHILYABAI HOLKAR,22.722,75.801
SXR,SRINAGAR,33.987,74.774
MYY,MIRI,4.325,113.988
MRV,MINERALNYYE VODY,44.225,43.082
VVO,KNEVICHI,43.399,132.151
KRT,KHARTOUM,15.589,32.553
IGU,CATARATAS INTERNATIONAL,-25.596,-54.487
CJB,COIMBATORE,11.031,77.044
DKR,LEOPOLD SEDAR SENGHOR INTERNATIONAL,14.739,-17.49
ATQ,AMRITSAR,31.707,74.799
DIY,DIYARBAKIR,37.894,40.201
ABJ,ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,5.26,-3.926
MCZ,ZUMBI DOS PALMARES,-9.51,-35.793
IXE,MANGALORE,12.96,74.893
KHV,NOVY,48.528,135.188
IXB,BAGDOGRA,26.681,88.328
IKT,IRKUTSK,52.267,104.395
DTM,DORTMUND,51.518,7.612
PSP,PALM SPRINGS INTERNATIONAL,33.829,-116.507
KBR,SULTAN ISMAIL PETRA,6.166,102.294
NAN,NADI INTERNATIONAL,-17.754,177.443
ASR,ERKILET,38.77,35.495
NAG,NAGPUR,21.092,79.047
SYR,SYRACUSE HANCOCK INTERNATIONAL,43.111,-76.106
GRO,GIRONA,41.901,2.76
ILO,ILOILO,10.713,122.545
TBZ,TABRIZ INTERNATIONAL,38.133,46.235
YYJ,VICTORIA INTERNATIONAL,48.647,-123.426
VNS,VARANASI,25.452,82.859
PGK,DEPATI AMIR,-2.163,106.139
YLW,KELOWNA,49.956,-119.378
ZQN,QUEENSTOWN,-45.021,168.739
ORN,ES SENIA,35.624,-0.621
OIT,OITA,33.479,131.737
PDL,PONTA DELGADA,37.741,-25.698
KMQ,KOMATSU,36.394,136.408
SXM,PRINCESS JULIANA INTERNATIONAL,18.041,-63.109
TAK,TAKAMATSU,34.214,134.016
PWM,PORTLAND INTERNATIONAL JETPORT,43.646,-70.309
KGD,KHRABROVO,54.89,20.592
CGY,CAGAYAN DE ORO,8.414,124.611
HKD,HAKODATE,41.77,140.822
SGC,SURGUT,61.25,73.5
MDZ,EL PLUMERILLO,-32.832,-68.793
DRS,DRESDEN,51.133,13.767
LJU,LJUBLJANA,46.224,14.457
YQB,QUEBEC JEAN LESAGE INTERNATIONAL,46.788,-71.398
ZTH,ZAKINTHOS DIONYSIOS SOLOMOS,37.75,20.882
PNS,PENSACOLA RGNL,30.473,-87.187
PPS,PUERTO PRINCESA,9.742,118.759
DJB,SULTAN THAHA,-1.638,103.644
AQP,RODRIGUEZ BALLON,-16.341,-71.583
PLZ,PORT ELIZABETH,-33.985,25.617
KWJ,GWANGJU,35.126,126.81
POZ,LAWICA,52.421,16.826
SLZ,MARECHAL CUNHA MACHADO,-2.589,-44.236
NVT,NAVEGANTES ITAJAI,-26.88,-48.651
AGA,INEZGANE,30.381,-9.546
CGR,CAMPO GRANDE,-20.469,-54.672
MGA,MANAGUA INTERNATIONAL,12.141,-86.168
EBB,ENTEBBE INTERNATIONAL,0.042,32.443
SOC,ADI SUMARMO WIRYOKUSUMO,-7.516,110.757
KOE,EL TARI,-10.171,123.671
CEK,BALANDINO,55.303,61.507
NST,CHA IAN,8.471,99.956
DLA,DOUALA,4.006,9.719
BCD,BACOLOD,10.643,122.929
TSV,TOWNSVILLE,-19.253,146.765
SBW,SIBU,2.264,111.983
HPN,WESTCHESTER CO,41.067,-73.707
YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,52.171,-106.7
OVD,ASTURIAS,43.563,-6.034
VAN,VAN,38.468,43.332
OKJ,OKAYAMA,34.757,133.856
JPA,INTL. PRES. CASTRO PINTO,-7.27,-35.896
TWU,TAWAU,4.313,118.122
TRZ,TIRUCHIRAPPALLI,10.765,78.709
DJE,ZARZIS,33.875,10.775
KCZ,KOCHI,33.544,133.671
PEE,BOLSHOYE SAVINO,57.917,56.026
MMY,MIYAKEJIMA,34.072,139.56
MMY,MIYAKO,24.783,125.295
ITO,HILO INTERNATIONAL,19.72,-155.049
AMQ,PATTIMURA,-3.709,128.09
KKJ,KITAKYUSHU,33.836,130.947
MBA,MOI INTERNATIONAL,-4.035,39.594
SPC,LA PALMA,28.626,-17.756
MDL,MANDALAY INTERNATIONAL,21.702,95.978
BND,BANDAR ABBASS INTERNATIONAL,27.218,56.378
BRC,SAN CARLOS DE BARILOCHE,-41.151,-71.157
LST,LAUNCESTON,-41.545,147.214
AXT,AKITA,39.616,140.219
AJU,SANTA MARIA,-10.984,-37.07
PHC,PORT HARCOURT INTERNATIONAL,5.015,6.949
YQR,REGINA INTERNATIONAL,50.432,-104.666
MJV,MURCIA SAN JAVIER,37.775,-0.812
ROC,GREATER ROCHESTER INTERNATIONAL,43.119,-77.672
IXA,AGARTALA,23.889,91.241
TAC,DANIEL Z ROMUALDEZ,11.227,125.028
LIR,DANIEL ODUBER QUIROS INTERNATIONAL,10.593,-85.544
ASU,SILVIO PETTIROSSI INTERNATIONAL,-25.24,-57.519
IXJ,JAMMU,32.69,74.838
BTV,BURLINGTON INTERNATIONAL,44.472,-73.153
AKJ,ASAHIKAWA,43.671,142.447
LCG,A CORUNA,43.302,-8.377
THE,SENADOR PETRONIO PORTELLA,-5.06,-42.823
BDQ,VADODARA,22.336,73.226
UDI,UBERLANDIA,-18.883,-48.226
SLA,SALTA,-24.856,-65.486
SID,AMILCAR CABRAL INTERNATIONAL,16.741,-22.949
UDR,UDAIPUR,24.617,73.913
ERZ,ERZURUM,39.956,41.17
ZAM,ZAMBOANGA INTERNATIONAL,6.922,122.059
TNG,IBN BATOUTA,35.727,-5.917
KYA,KONYA,37.979,32.562
MCX,UYTASH,42.817,47.652
VGO,VIGO,42.232,-8.627
XRY,JEREZ,36.744,-6.06
IXR,BIRSA MUNDA,23.315,85.321
REU,REUS,41.147,1.167
VOG,GUMRAK,48.782,44.345
LEI,ALMERIA,36.844,-2.37
TRK,JUWATA,3.326,117.566
NSN,NELSON,-41.298,173.221
TKS,TOKUSHIMA,34.133,134.606
IGR,CATARATAS DEL IGUAZU,-25.738,-54.473
AOJ,AOMORI,40.734,140.691
UUS,KHOMUTOVO,46.889,142.717
IXM,MADURAI,9.834,78.093
DUD,DUNEDIN,-45.928,170.198
PIE,ST PETERSBURG CLEARWATER INTERNATIONAL,27.911,-82.687
OMS,TSENTRALNY,54.967,73.31
FMO,MUNSTER OSNABRUCK,52.134,7.685
SJJ,SARAJEVO,43.824,18.331
EZS,ELAZIG,38.607,39.291
TGG,SULTAN MAHMUD,5.382,103.103
SDR,SANTANDER,43.427,-3.82
ZNZ,ZANZIBAR,-6.222,39.225
IQT,CORONEL FAP FRANCISCO SECADA VIGNETTA,-3.785,-73.309
MKY,MACKAY,-21.172,149.18
UBJ,YAMAGUCHI UBE,33.93,131.279
NQN,PRESIDENTE PERON,-38.949,-68.156
YKS,YAKUTSK,62.093,129.771
GRX,ARMILLA,37.133,-3.636
GRX,GRANADA,37.189,-3.777
POM,PORT MORESBY JACKSONS INTERNATIONAL,-9.443,147.22
IMF,IMPHAL,24.76,93.897
DED,DEHRADUN,30.187,78.18
LDB,LONDRINA,-23.334,-51.13
BZE,PHILIP S W GOLDSON INTERNATIONAL,17.539,-88.308
SAP,LA MESA INTERNATIONAL,15.452,-87.923
RAO,LEITE LOPES,-21.134,-47.774
MLG,ABDUL RACHMAN SALEH,-7.926,112.714
BTU,BINTULU,3.172,113.044
PIU,CAPITAN CONCHA,-5.206,-80.616
MCY,MAROOCHYDORE SUNSHINE COAST,-26.603,153.091
MMK,MURMANSK,68.782,32.751
KER,KERMAN,30.261,56.957
IZO,IZUMO,35.414,132.89
FAT,FRESNO YOSEMITE INTERNATIONAL,36.776,-119.718
AOR,SULTAN ABDUL HALIM,6.194,100.403
TST,TRANG,7.509,99.616
USH,USHUAIA MALVINAS ARGENTINAS,-54.843,-68.296
PVH,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,-8.709,-63.902
JRO,KILIMANJARO INTERNATIONAL,-3.429,37.074
FIH,KINSHASA NDJILI INTERNATIONAL,-4.386,15.444
MLX,ERHAC,38.436,38.092
AZD,YAZD SHAHID SADOOGHI,31.905,54.276
MMB,MEMANBETSU,43.881,144.164
ROS,ROSARIO,-32.903,-60.784
BTJ,SULTAN ISKANDARMUDA,5.523,95.42
PAD,PADERBORN LIPPSTADT,51.614,8.616
TOY,TOYAMA,36.648,137.187
